RECODE,Question,Options,
id,﻿Sr.No.,,
id2,Response No,,
ip,IP Address,,
mail,Email Address,,
browser,Browser,,
OS,Operatingsystem,,
screen,ScreenResolution,,
start,StartTime,,
end,EndTime,,
status,ParticipationStatus,,
language,Language,,
gender,1.What is your gender identity?,NA,
age,2.What is your age range?,NA,
work_study_loc,3.In what country do you work or study?,NA,
home_loc,4.In what country do you live?,NA,
edu,5.Which of the following describes the highest level of formal education that you have completed?,NA,
discipline_1,6.In what discipline/s did you receive your degree/s?,Social sciences (e.g. psychology,
discipline_2,...18,Natural sciences (e.g. chemistry,
discipline_3,...19,Formal sciences (e.g. computer science,
discipline_4,...20,Arts and Humanities (e.g. journalism,
discipline_5,...21,Business,
discipline_6,...22,None of the above,
discipline_7,...23,Other,
occupation,7.Which best describes your connection to data journalism in 2022? (Select the one you believe is most appropriate),NA,
retirement,8.Which of the following best applies to your retirement from data journalism,NA,
training_1,9.Please select all that apply to you.,I provide private professional training,
training_2,...27,I teach data journalism at a formal educational programme (e.g university,
training_3,...28,I provide in-house training at one or more news company / organisation,
training_4,...29,None of the items listed,
training_5,...30,Other,
formation_1,10.Which best describes your data journalism formation? (Select all that apply),Formal education online (online courses,
formation_2,...32,Formal education offline (bootcamps,
formation_3,...33,Higher education (university degree,
formation_4,...34,Self-taught using offline resources (books,
formation_5,...35,Self-taught using online resources (videos,
formation_6,...36,Workplace training (upskill sessions,
formation_7,...37,None of the items listed,
formation_8,...38,Other,
years_experience,11.How many years of experience do you have in data journalism?,NA,
org_number,12.How many news organisations do you work for?,NA,
company_org_name,13.Which company/organisation/university do you work/study at?,NA,
company_size,14.Approximately how many people work in your company/organisation?,NA,
income,15.Which of these describes your personal income last year? (Annual income in USD),NA,
type_dj_1,16.Which of the following do you think best applies to your work as a data journalist? (Select all that apply),I write stories that are enriched and supported by data,
type_dj_2,...45,I expose information that is hidden in the data,
type_dj_3,...46,I write stories that explain the data,
type_dj_4,...47,None of the above,
type_dj_5,...48,Other,
work_task_1,17.Which of the following do you carry out in your work,Analyse data,
work_task_2,...50,Clean data,
work_task_3,...51,Code/programme,
work_task_4,...52,Design web pages,
work_task_5,...53,Develop data-driven applications,
work_task_6,...54,Gather data,
work_task_7,...55,Produce data visualisations,
work_task_8,...56,None of the above,
work_task_9,...57,Other,
prog_lang_1,18.Which programming languages do you use for your work,SQL,
prog_lang_2,...59,Python,
prog_lang_3,...60,R,
prog_lang_4,...61,JavaScript,
prog_lang_5,...62,C/C++,
prog_lang_6,...63,HTML/CSS,
prog_lang_7,...64,None of the items listed,
prog_lang_8,...65,Other,
prog_frequency,19.How often do you use programming in your day to day duties? (Select all that apply),NA,
prog_experience,20.Including your years in education how long have you been coding?,NA,
prog_edu_1,21.How did you learn to code? (Check all that apply),Formal education online (online courses,
prog_edu_2,...69,Formal education offline (bootcamps,
prog_edu_3,...70,Higher education (university degree),
prog_edu_4,...71,Self-taught using offline resources (books,
prog_edu_5,...72,Self-taught using online resources (videos,
prog_edu_6,...73,Workplace training (upskill sessions,
prog_edu_7,...74,None of the items listed,
prog_edu_8,...75,Other,
graphic_tools,22.Which of the following applies at your news company/organisation in terms of graphic tools,NA,
tools_1,23.Which of the following data analysis or visualisation tools do you use for your work,D3.js,
